RecordID,Date,Time,Latitude,Longitude,Altitude,Pitch,Roll,Yaw,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,AccX,AccY,AccZ,ImgID
0,16-04-22,2:00:15,-25.11738713,28.25563607,422.1448284,-1.042163134,-2.455863237,2.90881443,-0.046379499,-0.02566668,0.006491184,0.002637487,-5.937127113,-11.76503181,0.017811999,-0.006832,-0.00732,0
1,16-04-22,2:00:15,-25.10773473,28.26462369,422.1408074,-1.039488077,-2.473548651,2.919124603,-0.042818587,-0.024919588,0.004894176,0.017092822,-8.387714386,-15.82088852,0.017568,-0.006344,-0.00854,0
2,16-04-22,2:00:15,-25.09902073,28.27281592,422.1371508,-1.035501003,-2.489197969,2.930082321,-0.038348362,-0.021942396,0.005932245,-0.077525608,-9.584945679,-18.75854301,0.017568,-0.006344,-0.007564,0
3,16-04-22,2:00:16,-25.08968526,28.28163812,422.1331791,-1.031989932,-2.501096487,2.936503649,-0.037827,-0.021394603,0.005829128,0.002167562,-10.50002956,-20.56611824,0.016348001,-0.005856,-0.007076,0
4,16-04-22,2:00:16,-25.08023753,28.29054328,422.1291828,-1.027075529,-2.507441521,2.937211514,-0.033526264,-0.019091357,0.005640881,-0.018961079,-10.53718472,-20.72546196,0.018300001,-0.005856,-0.008052,0
5,16-04-22,2:00:16,-25.06952969,28.30063183,422.12466,-1.02477169,-2.519349337,2.94425869,-0.031701282,-0.016008057,0.00347943,-0.189919665,-10.63981247,-20.74944115,0.016348001,-0.00488,-0.007076,0
6,16-04-22,2:00:16,-25.06009304,28.30951993,422.1206728,-1.024003625,-2.52651,2.947718859,-0.028145954,-0.016400993,0.004383069,-0.073529802,-10.94999123,-20.97073555,0.016592,-0.00488,-0.00732,0
7,16-04-22,2:00:17,-25.04985585,28.31916747,422.1163331,-1.020258188,-2.539429665,2.959455252,-0.026600789,-0.012970935,0.002293708,-0.018415129,-10.95281887,-21.09591675,0.016835999,-0.00488,-0.008296,0
8,16-04-22,2:00:17,-25.03875893,28.32959906,422.1116593,-1.020929456,-2.549636602,2.97437048,-0.020659264,-0.012290374,0.003452395,0.1693241,-10.88967228,-20.42634392,0.018787999,-0.006832,-0.008052,0
9,16-04-22,2:00:17,-25.02783481,28.33988746,422.1070426,-1.02042377,-2.557142973,2.979104519,-0.022463646,-0.012153739,0.002521756,0.53959465,-11.60040951,-20.71027756,0.016592,-0.005368,-0.005856,0
10,16-04-22,2:00:17,-25.01374038,28.35314931,422.1010918,-1.020845175,-2.556209087,2.982701063,-0.018502753,-0.010336682,0.003663275,0.583742559,-11.23129463,-20.96980286,0.015859999,-0.005856,-0.007076,0
11,16-04-22,2:00:17,-25.00395381,28.36223567,422.0970622,-1.023318052,-2.560349226,2.986344576,-0.019087236,-0.01030759,0.002380354,0.477580428,-10.97639942,-21.12355232,0.015616,-0.005124,-0.005856,0
12,16-04-22,2:00:18,-24.99724545,28.36854863,422.0942289,-1.024589062,-2.559454918,2.984106302,-0.018481191,-0.009801695,0.001971883,0.392719954,-10.7780571,-21.14748001,0.017811999,-0.005856,-0.007564,0
13,16-04-22,2:00:18,-24.99012737,28.37524075,422.0912226,-1.025733352,-2.555505991,2.978614569,-0.017043956,-0.007987428,0.004175791,0.424825668,-10.79055023,-21.26413918,0.017568,-0.005856,-0.005124,0
14,16-04-22,2:00:18,-24.98301456,28.38192616,422.0882226,-1.02309835,-2.553097486,2.975083828,-0.013884669,-0.009782041,0.002795242,0.261922568,-10.52875519,-21.14115334,0.01708,-0.006344,-0.007076,0
15,16-04-22,2:00:18,-24.97589877,28.3886829,422.0851401,-1.022074461,-2.554857016,2.976020098,-0.014361366,-0.00752986,0.002612959,-0.017465066,-11.05458069,-21.30750084,0.016835999,-0.004636,-0.008052,0
16,16-04-22,2:00:18,-24.96646988,28.39758185,422.081129,-1.021556735,-2.557786703,2.97930789,-0.012647219,-0.007188121,0.002211022,0.274841428,-11.08718109,-21.20186615,0.017324001,-0.006588,-0.00732,0
17,16-04-22,2:00:19,-24.95539344,28.40799261,422.0764679,-1.024286866,-2.552394867,2.976263762,-0.01199742,-0.006373838,0.000742339,0.368192971,-10.85940456,-20.66196632,0.017811999,-0.004392,-0.007564,0
18,16-04-22,2:00:19,-24.94522937,28.41752718,422.0721876,-1.029812932,-2.550614119,2.974747658,-0.01115228,-0.005000369,0.001233238,0.700426817,-10.76253319,-21.09160423,0.018056,-0.005368,-0.007808,0
19,16-04-22,2:00:19,-24.93574286,28.42642747,422.0681755,-1.030741692,-2.553900003,2.979358673,-0.007823093,-0.006153982,0.002383049,0.35260433,-10.83226204,-20.94858932,0.016348001,-0.005368,-0.00854,0
20,16-04-22,2:00:19,-24.92539999,28.43616004,422.0638204,-1.032559872,-2.554677963,2.981529713,-0.010475541,-0.005425973,0.001995933,0.302844644,-11.01566029,-21.13689423,0.016835999,-0.005368,-0.008296,0
21,16-04-22,2:00:19,-24.91448807,28.44640323,422.0592183,-1.032428384,-2.558465719,2.988818169,-0.008157637,-0.003932043,0.001752258,0.351968437,-11.03330421,-21.69998741,0.014884,-0.005368,-0.008784,0
22,16-04-22,2:00:20,-24.89981417,28.46016546,422.0530377,-1.035644174,-2.541125774,2.970443249,-0.006823786,-0.003309461,0.001001688,0.175887942,-11.21816826,-21.91539764,0.017324001,-0.006588,-0.009028,0
23,16-04-22,2:00:20,-24.88972008,28.46963374,422.0487824,-1.033823729,-2.543110371,2.972002745,-0.004107667,-0.003778939,0.001437786,0.483033448,-11.02733898,-21.09642792,0.016348001,-0.005612,-0.009516,0
24,16-04-22,2:00:20,-24.87504259,28.48339564,422.0425996,-1.033797741,-2.54150629,2.973263979,-0.004877688,-0.001419821,0.00010076,0.348410964,-11.13041401,-21.00742912,0.01708,-0.005856,-0.00976,0
25,16-04-22,2:00:20,-24.86493911,28.49286355,422.0383451,-1.033803582,-2.540644884,2.978424072,-0.006985834,-0.000915566,0.001190227,0.436114222,-11.3239994,-21.59793663,0.015128,-0.00732,-0.008052,0
26,16-04-22,2:00:21,-24.85181666,28.50516116,422.0328189,-1.034911633,-2.534300089,2.973409653,-0.005917935,-0.002707827,0.002632299,0.427608758,-11.24176025,-21.20384979,0.016104,-0.005368,-0.007564,0
27,16-04-22,2:00:21,-24.84081831,28.51546508,422.0281883,-1.034773588,-2.529350519,2.971711397,-0.003675342,-0.002446243,8.77E-05,0.295473725,-11.20559502,-21.44770241,0.016592,-0.005368,-0.00854,0
28,16-04-22,2:00:21,-24.83064767,28.52499448,422.0239082,-1.035576224,-2.528055906,2.97234726,-0.001565551,-0.002559297,0.000300837,0.325395554,-11.13375378,-20.81839371,0.017568,-0.004636,-0.007076,0
29,16-04-22,2:00:21,-24.81593837,28.53876808,422.0177163,-1.0431391,-2.530591965,2.976913214,-0.004176354,-0.000856848,0.000257913,0.296067983,-11.21442604,-20.82365417,0.018056,-0.006588,-0.008296,0
30,16-04-22,2:00:22,-24.80500387,28.54899697,422.0131197,-1.043520927,-2.52839303,2.975023031,-0.002234157,0.000329521,0.000119016,0.352775633,-11.00689983,-21.39175415,0.016348001,-0.006344,-0.007076,0
31,16-04-22,2:00:22,-24.79029805,28.56276078,422.0069308,-1.044380903,-2.523780823,2.973027468,-0.003495337,-0.002865766,-0.000211977,0.388350368,-10.76352978,-21.39568901,0.017324001,-0.005612,-0.00732,0
32,16-04-22,2:00:22,-24.77948021,28.57287774,422.0023836,-1.044064999,-2.528297424,2.977519989,-0.002541879,9.79E-05,0.000585807,0.253727674,-11.04330254,-20.94463158,0.016104,-0.004636,-0.007564,0
33,16-04-22,2:00:22,-24.76882452,28.58286609,421.9978753,-1.044275522,-2.526918173,2.976862192,-0.001568489,0.000683899,0.000616905,0.200755656,-10.97114372,-20.99157906,0.015372,-0.004392,-0.006588,0
34,16-04-22,2:00:23,-24.75903395,28.59197243,421.9937976,-1.045130253,-2.52480197,2.973901749,-0.002721446,-0.000152483,-0.001151063,-0.061292794,-10.54226112,-20.97341728,0.017324001,-0.005856,-0.006344,0
35,16-04-22,2:00:23,-24.74949001,28.60091518,421.98976,-1.048051119,-2.519409418,2.966804266,-0.001648536,-0.00100385,0.001273408,0.027381007,-10.93521404,-21.49005127,0.016835999,-0.005368,-0.007564,0
36,16-04-22,2:00:23,-24.73976936,28.61003322,421.9856609,-1.047262311,-2.520778179,2.96733427,-0.002064005,-0.000276586,-0.000835123,0.022833114,-11.02836418,-21.3596611,0.015859999,-0.00488,-0.008296,0
37,16-04-22,2:00:23,-24.72859747,28.62043211,421.9809979,-1.044762015,-2.526517153,2.973634958,-0.002833404,-0.002033525,0.001299427,-0.036301956,-11.17988873,-21.15197754,0.019032,-0.00488,-0.009516,0
